,episode_id,url,show_id,show_name,episode_name,season_n,episode_n,type_ep,airstamp,runtime,average_rating,show_type,show_language,show_genres,show_status,showed_in
24,2755632,https://www.tvmaze.com/episodes/2755632/sweet-trap-1x07-episode-7,74239,Sweet Trap,Episode 7,1,7,regular,2024-01-31T04:00:00+00:00,40.0,,Scripted,Chinese,"['Food', 'Romance']",Ended,Tencent QQ
25,2751800,https://www.tvmaze.com/episodes/2751800/it-doesnt-matter-if-you-dont-know-the-plot-1x09-episode-9,74260,It Doesn't Matter If You Don't Know The Plot,Episode 9,1,9,regular,2024-01-31T04:00:00+00:00,15.0,,Scripted,Chinese,"['Drama', 'Fantasy', 'Romance']",Ended,Tencent QQ
26,2759208,https://www.tvmaze.com/episodes/2759208/broken-the-heart-1x01-episode-1,74261,Broken the Heart,Episode 1,1,1,regular,2024-01-31T04:00:00+00:00,15.0,,Scripted,Chinese,"['Drama', 'Romance']",Ended,Tencent QQ
27,2759209,https://www.tvmaze.com/episodes/2759209/broken-the-heart-1x02-episode-2,74261,Broken the Heart,Episode 2,1,2,regular,2024-01-31T04:00:00+00:00,15.0,,Scripted,Chinese,"['Drama', 'Romance']",Ended,Tencent QQ
28,2759210,https://www.tvmaze.com/episodes/2759210/broken-the-heart-1x03-episode-3,74261,Broken the Heart,Episode 3,1,3,regular,2024-01-31T04:00:00+00:00,15.0,,Scripted,Chinese,"['Drama', 'Romance']",Ended,Tencent QQ
29,2759211,https://www.tvmaze.com/episodes/2759211/broken-the-heart-1x04-episode-4,74261,Broken the Heart,Episode 4,1,4,regular,2024-01-31T04:00:00+00:00,15.0,,Scripted,Chinese,"['Drama', 'Romance']",Ended,Tencent QQ
30,2759212,https://www.tvmaze.com/episodes/2759212/broken-the-heart-1x05-episode-5,74261,Broken the Heart,Episode 5,1,5,regular,2024-01-31T04:00:00+00:00,15.0,,Scripted,Chinese,"['Drama', 'Romance']",Ended,Tencent QQ
31,2753203,https://www.tvmaze.com/episodes/2753203/yi-ren-jun-moye-1x03-episode-3,74303,Yi Ren Jun Moye,Episode 3,1,3,regular,2024-01-31T04:00:00+00:00,20.0,,Animation,,"['Action', 'Adventure', 'Fantasy']",Running,Bilibili
32,2759005,https://www.tvmaze.com/episodes/2759005/the-meta-universe-1x13-episode-13,74377,The Meta Universe,Episode 13,1,13,regular,2024-01-31T04:00:00+00:00,15.0,,Scripted,Chinese,['Science-Fiction'],Ended,Tencent QQ
33,2759006,https://www.tvmaze.com/episodes/2759006/the-meta-universe-1x14-episode-14,74377,The Meta Universe,Episode 14,1,14,regular,2024-01-31T04:00:00+00:00,15.0,,Scripted,Chinese,['Science-Fiction'],Ended,Tencent QQ
34,2881067,https://www.tvmaze.com/episodes/2881067/my-ex-wife-conquered-the-world-1x53-episode-53,77232,My Ex-Wife Conquered the World,Episode 53,1,53,regular,2024-01-31T04:00:00+00:00,2.0,,Scripted,Chinese,"['Drama', 'Romance']",Ended,Weibo
35,2881655,https://www.tvmaze.com/episodes/2881655/wen-rou-yuan-1x19-episode-19,77324,Wen Rou Yuan,Episode 19,1,19,regular,2024-01-31T04:00:00+00:00,3.0,,Scripted,Chinese,"['Drama', 'Romance']",Ended,Kuaishou
36,2790410,https://www.tvmaze.com/episodes/2790410/slepaa-15x21-posudomojka-so-skidkoj,26268,Слепая,Посудомойка со скидкой,15,21,regular,2024-01-31T05:35:00+00:00,25.0,,Scripted,Russian,['Drama'],Running,ТВ-3
37,2752949,https://www.tvmaze.com/episodes/2752949/eastenders-2024-01-31-31012024,793,EastEnders,31/01/2024,2024,19,regular,2024-01-31T06:00:00+00:00,29.0,,Scripted,English,['Drama'],Running,BBC iPlayer
38,2746961,https://www.tvmaze.com/episodes/2746961/domino-day-1x01-episode-1,54407,Domino Day,Episode 1,1,1,regular,2024-01-31T06:00:00+00:00,43.0,7.9,Scripted,English,"['Thriller', 'Supernatural']",To Be Determined,BBC iPlayer
39,2746962,https://www.tvmaze.com/episodes/2746962/domino-day-1x02-episode-2,54407,Domino Day,Episode 2,1,2,regular,2024-01-31T06:00:00+00:00,41.0,7.7,Scripted,English,"['Thriller', 'Supernatural']",To Be Determined,BBC iPlayer
